What is a loan?,A loan is money you borrow from a bank or lender and repay with interest over time.
Who is a borrower?,A borrower is a person who takes money from a lender and agrees to repay it.
What is EMI?,EMI is the fixed monthly amount you pay to repay your loan.
How is EMI calculated?,EMI depends on loan amount, interest rate, and loan duration.
What is principal amount?,Principal is the original amount you borrowed.
What is interest?,Interest is the extra money you pay for borrowing the loan.
What is interest rate?,Interest rate is the percentage charged on the loan amount.
What is loan tenure?,Loan tenure is the total time given to repay the loan.
What is a secured loan?,A secured loan requires property or assets as security.
What is an unsecured loan?,An unsecured loan does not require any collateral.
What is credit score?,Credit score is a number that shows how reliable you are in repaying loans.
Why is credit score important?,A good credit score increases your chances of loan approval.
What is minimum credit score for loan?,Most lenders prefer a score above 650.
Can I get loan with low credit score?,Yes but interest rate may be higher.
What is loan eligibility?,Loan eligibility means whether you qualify for a loan.
How is loan eligibility calculated?,It is calculated based on income, expenses, and credit score.
What documents are required for loan?,You need ID proof, address proof, income proof, and bank statements.
Is PAN mandatory for loan?,Yes PAN is required for financial verification.
Is Aadhaar required for loan?,Usually yes for KYC verification.
What is KYC?,KYC means verifying your identity before giving a loan.
How long does loan approval take?,It can take from minutes to a few days.
What is loan disbursement?,Disbursement is when the loan amount is credited to your account.
How will I receive loan money?,It will be transferred directly to your bank account.
What is processing fee?,It is a fee charged for processing your loan application.
Is processing fee refundable?,Usually it is not refundable.
What happens if EMI is missed?,You may have to pay late fees and your credit score may drop.
What is late payment charge?,It is a penalty charged for paying EMI late.
Can I prepay my loan?,Yes you can repay early if lender allows.
What is foreclosure?,Foreclosure means closing the loan before the end of tenure.
Are foreclosure charges applicable?,Sometimes charges apply depending on lender policy.
What is part payment?,Part payment means paying a portion of the loan before schedule.
Will part payment reduce EMI?,Usually it reduces tenure but depends on your choice.
What is bounce charge?,It is a fee charged when EMI auto debit fails.
What is NOC?,NOC is a document confirming your loan is fully closed.
How to get loan statement?,You can download it from lender website or app.
How to check outstanding loan amount?,Check your loan statement or lender app.
Can I apply loan online?,Yes most lenders offer online loan application.
Is online loan safe?,Yes if you apply through trusted lenders.
What is co-borrower?,A co-borrower shares equal responsibility to repay loan.
What is guarantor?,A guarantor promises to repay if borrower fails.
Can student apply for loan?,Yes students can apply for education loans.
Can self employed apply for loan?,Yes with proper income proof.
What income is required for loan?,Minimum income depends on lender policy.
What is debt to income ratio?,It shows how much of your income goes to repay debts.
Why was my loan rejected?,It may be due to low credit score or insufficient income.
Can I reapply after rejection?,Yes you can apply again after improving eligibility.
What is balance transfer?,It means moving your loan to another bank with lower interest.
Is balance transfer good?,It is good if new interest rate is lower.
What is fixed interest rate?,It remains same throughout loan period.
What is floating interest rate?,It changes according to market rates.
Which is better fixed or floating?,It depends on market conditions and your preference.
Can EMI date be changed?,Yes if lender approves your request.
How to update bank details for EMI?,Submit request with verification documents.
What happens if borrower dies?,Loan may be paid by co borrower or insurance.
Can loan be insured?,Yes loan protection insurance is available.
What is loan restructuring?,It means changing loan terms to reduce burden.
What is moratorium?,It is a temporary pause in EMI payments.
Does moratorium mean interest free?,No interest usually continues to apply.
What is personal loan?,It is an unsecured loan for personal expenses.
What is home loan?,It is a loan to buy or build a house.
What is car loan?,It is a loan to purchase a vehicle.
Is down payment required for car loan?,Yes usually 10 to 20 percent.
What is LTV ratio?,Loan to value ratio is percentage of property financed by bank.
Can I get tax benefit on home loan?,Yes under applicable tax rules.
What is sanction letter?,It is official approval of your loan.
Can I cancel loan after approval?,Yes before disbursement.
How to improve credit score?,Pay EMIs on time and reduce outstanding debts.
Does multiple loan applications affect score?,Yes it may reduce your credit score.
Can I take multiple loans?,Yes if your income supports repayment.
What is EMI auto debit?,It is automatic deduction from your bank account.
What is ECS?,ECS is electronic system for EMI payment.
What is NACH?,NACH is national system for auto debit payments.
How to contact loan support?,Call customer care or email support team.
Can I increase loan amount later?,It depends on lender approval.
Can loan tenure be extended?,Yes if lender allows.
What is penal interest?,It is extra interest charged for delay.
What is default in loan?,Default means failing to repay EMI.
What is NPA?,NPA means loan not repaid for long time.
Can I close loan early?,Yes by paying full outstanding amount.
How long does loan closure take?,Usually few working days.
Can EMI be paid through UPI?,Some lenders allow UPI payments.
Can EMI be paid in cash?,Most lenders prefer digital payments.
What is repayment schedule?,It shows monthly EMI breakup.
What is amortization?,It is gradual repayment of loan with interest.
Does loan affect credit score?,Yes timely payment improves score.
Is guarantor mandatory?,Depends on loan type.
Can retired person get loan?,Yes if income proof available.
What is overdraft loan?,It allows borrowing up to approved limit.
What is top up loan?,It is additional loan on existing loan.
Can I apply without salary slip?,Some lenders allow alternative income proof.
How many bank statements required?,Usually last 3 to 6 months.
Is CIBIL same as credit score?,CIBIL is one credit bureau providing credit score.
How to check CIBIL score?,Through official credit bureau website.
What is processing time for personal loan?,Usually 1 to 3 days.
What is instant loan?,Loan approved quickly through digital process.
What is EMI calculator?,It is tool to calculate monthly installment.
Is prepayment allowed anytime?,Depends on loan agreement.
What happens if EMI bounces repeatedly?,Penalty increases and credit score drops.
Can EMI be reduced?,Yes by extending tenure.
Can I switch from fixed to floating rate?,Some lenders allow rate conversion.
What is loan agreement?,It is legal document with loan terms.
Can loan be transferred to another person?,Generally no unless lender approves.
What is loan account number?,It is unique number assigned to your loan.
How to download interest certificate?,From lender portal for tax purpose.
Does closing loan improve score?,Yes if closed properly.
What is foreclosure statement?,It shows amount needed to close loan.
Can EMI be split into two dates?,Usually not allowed.
What is minimum tenure for personal loan?,Usually 12 months.
What is maximum tenure for home loan?,Up to 30 years.
What is pre EMI?,It is interest paid before full disbursement.
What is credit history?,It is record of your past loans and repayments.
Why income proof needed?,To ensure you can repay loan.
What if I change job during loan?,Inform lender and continue EMI.
Can I skip one EMI?,Usually not unless approved.
Is stamp duty required?,Yes for legal loan agreement.
What is legal verification in home loan?,Bank checks property legal status.
What is technical verification?,Bank checks property value and condition.
Can I repay loan weekly?,Most loans are monthly EMI.
What is digital KYC?,Online identity verification.
Is OTP verification safe?,Yes if shared securely.
What is loan reference number?,It helps track your application.
Can I edit application after submission?,Only before approval.
Is collateral mandatory for all loans?,No only for secured loans.
